id,embedding,type
385687,"[0.08117559886902222, -0.11565087120113687, -0.016392725051200763, -0.07099290755728156, 0.05775263064489423, -0.08506853232096241, -0.08360104864877238, 0.01528927640582712, -0.0506863744350527, 0.03213637506542651, -0.1550878375712268, -0.03796648136747976, 0.03579561761053744, -0.12916645063654905, 0.13060437193613264, -0.09976000666183564, -0.014349029860254707, 0.005562637983456759, -0.07721696995434445, -0.07990285908325352, -0.06714110258054246, 0.017226355555868506, 0.07976234411330121, -0.11118507893612947, -0.006965429808520459, -0.10766914772248425, -0.07007067631454802, 0.19065975797320217, 0.09721306888293317, -0.030032038359357673, -0.1545381578133847, -0.022674159709323925, 0.08538813740911558, -0.06562108830568208, -0.011021193488102522, -0.08781727077293258, -0.012440813260409614, 0.017960454623486704, -0.05475794121734446, 0.0610200926935342, 0.01991578771873695, -0.09435409815291798, 0.031391468280168616, 0.08947894784362302, -0.06805862539467546, -0.06622328109743107, -0.03843126007602271, -0.030677163352687074, 0.01107593555887023, -0.08311514350219897, -0.08359129798506601, -0.10114383959505767, -0.04304834867547695, -0.14814216749734793, 0.09095618217951942, 0.1276047632548211, 0.06321687330467023, -0.0699633838762511, 0.0329270396950506, 0.004508172514603225, -0.037736365704009484, 0.014886352921147582, -0.07498911605694657, 0.04356547351467418, 0.032725277087637006, -0.06271341696342535, -0.1213112691046635, 0.007217242162801021, 0.19265448023607346, -0.08804377312738976, -0.020370328230388212, -0.022121108212965958, -0.023343526668066245, 0.023840060916517768, 0.07749990903320898, -0.06454342621284, -0.005496172057239401, -0.038034656953988874, -0.09403345065146768, -0.06792947155841104, 0.15103616448539783, 0.11253698356993581, -0.03165794249956741, 0.03970276419209647, 0.1357121385295601, 0.1707685445623198, -0.023704990799166662, -0.015398486767465676, 0.12914068311684454, 0.031112470460567983, 0.04261453491248801, -0.06120762753069276, -0.055017098046772614, -0.138418044336276, 0.11070300377998488, -0.0030259916567601333, -0.0043272636633709515, 0.0392516481252514, -0.08286862446993497, -0.023440832728414036, -0.06456642958043077, -0.006882377139541035, -0.03013001349677961, -0.06534070255377009, -9.133967511511183e-05, 0.03054002158531427, -0.16451889033318673, -0.0023215437206053273, -0.11324338841012613, -0.04403646863734584, 0.1783344505479953, -0.041062153119126074, 0.16578762444089226, -0.030888398451719312, 0.22365670670608748, 4.684441976985007e-05, -0.33997571798065346, -0.014678281663597244, -0.14120746033185244, -0.020606686661132353, 0.0706934362720248, -0.03733516835033743, 0.1321348337689823, -0.03568267388666897, -0.1753527502928784, 0.06327049317067353, 0.010685201867887273, -0.0766673897528285]",Movie
758323,"[0.035875752639280015, -0.017237624163991678, -0.0003468008181768728, -0.08623295186272391, 0.09855277720788722, -0.09899236724859661, -0.032003114325829606, 0.17133416736201756, 0.07700493432623351, 0.0676082987178806, 0.06374480843723784, -0.09371018724067047, 0.0007863928915124742, -0.204042867454647, 0.10672223666234769, -0.036147983621468524, 0.09554886707174877, -0.07797076801949766, -0.05354056810451703, 0.03111349131189548, 0.03569004667612525, -0.07095271663811399, 0.0016655613846255771, -0.08026148447923748, 0.008096235567469986, -0.04316601705966917, -0.28755168527187924, 0.02312679214804465, 0.0019377925537222406, -0.052661411947342245, 0.03393168053222664, -0.026460767135762724, -0.10232637214161971, -0.07938231635994068, 0.025761042808748115, 0.11718661726243472, 0.16694117375057216, 0.09335726875498944, 0.050903063746626655, 0.061457333712562935, -0.01063469579800982, 0.028486417924398422, 0.16113708037825913, 0.0687476130856046, 0.0700614428513424, -0.02733994123612052, 0.10329833044135334, 0.018730927627316676, 0.0783236924862397, 0.0050923201979031635, -0.01670525889549796, -0.0021051536682328543, 0.12922674427074435, 0.04474163188454965, 0.05388738590797262, -0.06047913118513974, -0.07674479405886729, -0.10557083457033188, -0.033585033189009704, -0.0408007347123758, -0.026807566996035294, 0.07841035806020706, -0.2095809710819306, 0.037974629557804084, -0.006064281861983598, -0.08360587249416584, -0.23656792505016852, -0.11067521557775231, -0.048086091672210084, -0.0017583476399911215, 0.02558159303540493, -0.0004395817232964398, -0.04140767484001459, 0.052481962173999065, 0.07956176015222287, 0.03964933262036001, -0.11903161907499567, 0.025309356072155415, 0.08280903367960754, 0.043872939593603714, -0.13810310532542583, 0.08853713767184775, 0.1555080765858164, -0.15524793631845019, 0.20413566959720586, 0.1527931294500289, -0.033144079466391085, -0.004663180566035341, 0.04791585273281512, 0.0005323729317281294, 0.03365822941359305, -0.13125732644417895, 0.024881868708390317, -0.002730302014653456, 0.02830578689150668, -0.15612711639986898, 0.03261169924524486, 0.05275420212777908, 0.17363201922753674, -0.0004395870034518586, -0.027339938245590015, -9.27859983668294e-05, 0.10346568052828271, -0.0013187656363324472, 0.026021177095053322, 0.13739611999035076, -0.1333624685241061, -0.07130564110485603, 0.15383639395906817, -0.0008791738199955607, 0.07059262087922656, -0.05292155221470846, -0.06356537660707769, 0.02541424294847554, 0.19094709514101707, -0.06311665348621312, -0.021887510326677403, 0.051695554329834074, -0.0698062489214276, -0.08957739968826234, -0.06161844555286375, 0.07059381111036661, 0.054679894434363045, -0.04607084194866267, -0.10760141674376648, -0.0810611523356513, 0.011334420125024428, -0.03183576124836972]",Movie
640146,"[-0.01636888167812894, 0.1104797825990716, -0.035208287811598106, 0.09418961517297465, -0.1775864239243222, -0.06607200778335108, -0.06798545829918905, 0.049306772196242174, -0.04036514496326629, 0.1049698908504442, 0.07343289046531841, -0.20180324595556806, 0.05790671603923161, 0.03997811851666276, -0.06287470899134005, -0.09035636640752125, -0.10902363953222133, 0.06514759184323177, -0.00852464613070838, 0.10209138477916277, -0.12114251636655612, 0.009862223649318519, 0.04758761292760964, -0.05204426327341245, -0.09705145476622867, 0.06335995470511849, 0.04673067180914064, 0.11137623085950778, 0.1226396520274392, 0.022317409772800355, -0.040630867335148306, -0.004562334009607489, 0.09809820724379233, 0.0138075622744527, 0.02804230526510866, 0.07446609444344786, -0.09064683846985906, 0.13159987535538317, 0.024957424308828545, 0.07051195635325562, -0.050269427496466706, -0.021864113044389843, -0.10070807298586677, 0.03195582138891219, -0.10892065211099022, 0.044545283554658935, -0.1748432616558994, -0.17923892904680208, -0.045792645598313114, 0.01409520609488735, -0.02779283167978213, 0.06112651722391994, -0.08459490085025076, -0.18286451455497016, 0.10612664914256288, -0.13021988156194864, 0.04694260316731155, 0.07124796402464721, -0.052666764758054756, -0.14543951162849647, -0.012933889965193039, -0.09515521196243805, -0.02794124746081825, -0.06331655008990981, 0.13457170899723528, -0.049396134639318856, -0.04697139446398155, 0.09017472944702139, -0.03264032358373127, -0.013249707369557528, 0.030393178762679617, 0.0016949714026213499, -0.0811316502501971, 0.15674633741163657, 0.10835567438990314, -0.011248562235041304, -0.1772726023204063, -0.072414205678072, 0.03285169311745756, 0.15991540378993296, 0.04794455088078883, -0.07359390758625382, -0.10872811399137114, 0.08543791401717374, -0.008916824595713779, -0.06170079005100183, 0.006155236103326414, -0.016818607438603472, 0.057333555095082006, 0.09856520984131133, 0.0003094072328818488, 0.05421925336343478, 0.017365871511494116, 0.009400769435876326, -0.01912074781320955, -0.15800468297610865, 0.12176927712761632, -0.08983152236560922, -0.008588263189221911, -0.06646327879892629, 0.03237935465845926, 0.15943583515038554, -0.09069766740390663, 0.04531942175105391, 0.016510454084450843, 0.012004832355054807, -0.12230589889244074, -0.04748129868204938, -0.16326828971374446, -0.017398294076629493, 0.09135889065288934, 0.21053704520786123, 0.11267911057105628, -0.17032766386574974, -0.03958236172999829, 0.12984433574784437, -0.03973515738851108, 0.01727101730800847, -0.05450685453227546, 0.15850132401919845, -0.08615721402968858, -0.11942178045969157, 0.06668784385337811, 0.05549804227811698, 0.024966310547819153, -0.007043868826854937, -0.11946576160679107, 0.0207896679163869]",Movie
677179,"[-0.017817770606682663, -0.10781079076711936, -0.1076214863879197, -0.01698495475223686, -0.07338618456632852, -0.12891788140271934, -0.09265502608164133, -0.06556320079579493, 0.06400482341364687, -0.05834392023234848, 0.025741044212536004, 0.041759073194773816, -0.09411068011233155, -0.02779463054061444, -0.018314869873184588, -0.08249002058571851, 0.12292240451694908, -0.08747402966503352, -0.18767264868821087, -0.04852987701327041, 0.04432358492717449, -0.020489009403996953, -0.03482960412407339, -0.07440942595562333, -0.0219933757645729, 0.038678021588675164, -0.09040973082865535, -0.03747596311591868, 0.010414180890466437, 0.07884574905171576, -0.0933227887040208, -0.0412723699671547, -0.0701357312665882, 0.03602719535649066, 0.08045578071093792, -0.168086957577632, -0.08312833186874098, 0.02066714568234857, 0.02352192664029268, -0.016399269704222213, -0.07337526271413732, -0.17793533944764442, -0.03995118508535239, 0.10547467321540803, -0.22578667973553823, -0.1085908138065836, -0.12584903214182744, -0.11242641764990109, -0.18966151507518808, -0.1798906117237438, 0.2872353957385899, -0.054067583440077706, -0.05430654893075265, -0.03877867065732959, 0.028186357109815312, 0.01677400221905872, -0.09204644425410592, 0.11912591075442241, -0.018843578776094556, 0.10084771310032602, -0.07107170792598812, 0.021211936071071125, 0.058052657321048654, 0.035454690405702524, 0.03698124087321593, -0.11026179345689298, 0.01366295897507955, 0.04873732557291399, -0.08985415330024209, -0.09169265156622913, 0.03673161426422171, -0.03444046171724774, 0.0003459257675517986, -0.051382099882226494, 0.08260054857107639, -0.0007200797791099395, -0.10750788753695897, 0.007075429340733282, -0.013528011814093084, -0.0023164824805024524, 0.07465464326513876, 0.04122216421159137, -0.17303492164767298, -0.17494211459778683, -0.04618592006314278, 0.10914143739143002, -0.13455490136134815, 0.07220992715872189, 0.11835788147306736, 0.08811405599752474, 0.018464025581670207, -0.04322555347523554, 0.03893285708102212, -0.10985534990914267, 0.030775760235857073, 0.11071507639621558, 0.06407715678380874, 0.1513299972141475, -0.02366697144473073, -0.07199168131973702, 0.03437725403260372, -0.14236172542590758, -0.009292124985010596, -0.07227082879712075, -0.05417757257543358, 0.07306017452102832, -0.029091242703508026, 0.06966106814976662, 0.14130818676069348, -0.03696728291993814, 0.08299619194244238, 0.03512808067249686, -0.0692503195960863, -0.13442821946410213, 0.09917876138013172, -0.04735845477046673, 0.03029375890906192, -0.09050640515428422, -0.043176972960807296, 0.034371749650862794, -0.08236074873201124, -0.06434352830146747, 0.03850697437459726, 0.16406892114116195, -0.053322463974937014, 0.09107351291392322, -0.06397535469203174, -0.08498006962133647]",Movie
502356,"[-0.01982287017847529, 0.04534527498641822, -0.02009648253144916, 0.05515738485994663, 0.0021220738734323225, 0.07786243333206305, 0.01845463876936371, -0.008571793199261385, 0.2483486943260987, 0.035790720787148816, -0.03278037775662198, 0.055982439215205404, -0.19446848060798652, -0.10138855398406836, -0.0010742319849242005, 0.09191453020419968, -0.02068428346154133, 0.07929148071390116, -9.138046613397663e-05, 0.06036033210166018, 0.037071266956538895, -0.15182952533654323, 0.0550965807920792, -0.039919376519642655, 0.01866747235229575, -0.003277468723397085, -0.03827753870998676, -0.03290211386959219, -0.017522038893185234, -0.07783218903751245, -0.2156295700457753, 0.058576793730318724, 0.0016418432040451784, 0.1319860537993906, -0.07267939696719888, 0.040375279051413006, 0.06148957941671309, -0.041260997592444754, 0.1611308393729784, 0.025775889020388788, 0.02308001433116916, -0.12263017979368741, -0.13413466657997777, 0.05912407796056198, 0.11554174096727622, 0.0008005990774670334, 0.02174212691980317, -0.017427142285062234, -0.03977777119682991, -0.0583536728610145, 0.038551177848893614, -0.05757341053812992, -0.09476264274351821, -0.003010045781076115, -0.04169657852972666, 0.002162554858703924, -0.11141310011585626, 0.11336947323165182, 0.09179301730733765, 0.08077484401539567, -0.13196570839518396, -0.10366876307717764, 0.019072792625845797, 0.1357498940533242, 0.007300914519516451, -0.1564342534083423, -0.09345538802273105, 0.13324252834367487, 0.038551177848893614, -0.08851557388176616, -0.07331821170665384, 0.01956952882433867, 0.11592708935157396, -0.041514455018957626, -0.1350705789832016, -0.07331804503862639, 0.13390525994506727, -0.17712896999077982, -0.09714830507855987, 0.022214761731042473, 0.23025916568055804, -0.17717920849619354, 0.017795652734266497, -0.03763908409251967, 0.058485709653323385, -0.1132780796283198, -0.07803498235989868, -0.14146994075502592, 0.03565905602168689, -0.0027603796801606295, -0.034746753930278644, 0.058850069771022945, -0.1712768507821919, 0.034239964078273476, -0.05390059483689614, 0.016883667609731864, -0.11526809587593981, -0.09492457263703417, 0.0925431008123967, 0.07710235569778723, -0.05810036126902564, -0.0016356249613116362, -0.11877520784332206, 0.005152299506768184, 0.09801974076488307, 0.04941716537449525, 0.13046562471907958, 0.05782672213011878, -0.04183486537306451, 0.004078064545629208, 0.1332126471473269, 0.057782459863974664, -0.01765407122117196, 0.012390354138060897, -0.0441593367323179, -0.08106902498868437, -0.04406824670289301, -0.15098804227572263, 0.11132174222710155, 0.0026452336507575, 0.023171518054447872, -0.031641811913106374, 0.09808055078518005, 0.09858735254204432, 0.08878921302067301, 0.06352647104705028, 0.13992908293649453, 0.09811083079430795]",Movie
