movieId,embedding,type
1,"[-0.09637239180706585, -0.09637239180706585, 0.00963724616242981, -0.09637239180706585, 0.10600964168317822, 0.1927447836141317, -0.17347029574569117, -0.09637239180706585, -0.00963724616242981, -0.09637239180706585, 0.0, 0.09637239180706585, 0.00963724616242981, 0.0, 0.00963724616242981, 0.18310753373801933, 0.0, 0.1927447836141317, 0.0, -0.10600964168317822, 0.18310753373801933, -0.09637239180706585, -0.00963724616242981, 0.0, 0.10600964168317822, 0.0, 0.00963724616242981, -0.09637239180706585, 0.01927449232485962, -0.07709789799673321, -0.09637239180706585, -0.10600964168317822, 0.09637239180706585, 0.0, -0.00963724616242981, 0.07709789799673321, -0.08673514787284559, 0.0, -0.08673514787284559, 0.0, 0.0, 0.0, -0.00963724616242981, 0.09637239180706585, 0.0, 0.10600964168317822, 0.0, 0.07709789799673321, 0.00963724616242981, -0.00963724616242981, 0.01927449232485962, -0.1927447836141317, 0.08673514787284559, -0.09637239180706585, 0.00963724616242981, 0.0, -0.09637239180706585, 0.00963724616242981, 0.0, -0.1927447836141317, 0.0, -0.01927449232485962, -0.01927449232485962, -0.00963724616242981, 0.09637239180706585, -0.08673514787284559, -0.08673514787284559, -0.01927449232485962, -0.10600964168317822, 0.00963724616242981, 0.09637239180706585, -0.09637239180706585, 0.09637239180706585, 0.1927447836141317, 0.0, 0.1927447836141317, 0.0, 0.0, 0.0, 0.00963724616242981, 0.10600964168317822, 0.00963724616242981, 0.0, 0.00963724616242981, -0.09637239180706585, -0.10600964168317822, 0.09637239180706585, -0.00963724616242981, 0.09637239180706585, -0.09637239180706585, -0.21201928336635645, 0.01927449232485962, 0.09637239180706585, -0.00963724616242981, 0.0, 0.0, 0.0, 0.0, -0.09637239180706585, 0.0, -0.1927447836141317, 0.09637239180706585, 0.1156468796755064, 0.08673514787284559, -0.09637239180706585, 0.08673514787284559, 0.0, 0.10600964168317822, 0.0, -0.1156468796755064, 0.00963724616242981, 0.00963724616242981, 0.10600964168317822, 0.08673514787284559, 0.00963724616242981, -0.00963724616242981, 0.07709789799673321, 0.20238203349024408, -0.08673514787284559, -0.10600964168317822, -0.00963724616242981, -0.10600964168317822, 0.00963724616242981, -0.08673514787284559, 0.0, -0.09637239180706585, -0.20238203349024408, -0.09637239180706585]",actor
2,"[-0.09637239180706585, -0.09637239180706585, 0.00963724616242981, -0.09637239180706585, 0.10600964168317822, 0.1927447836141317, -0.17347029574569117, -0.09637239180706585, -0.00963724616242981, -0.09637239180706585, 0.0, 0.09637239180706585, 0.00963724616242981, 0.0, 0.00963724616242981, 0.18310753373801933, 0.0, 0.1927447836141317, 0.0, -0.10600964168317822, 0.18310753373801933, -0.09637239180706585, -0.00963724616242981, 0.0, 0.10600964168317822, 0.0, 0.00963724616242981, -0.09637239180706585, 0.01927449232485962, -0.07709789799673321, -0.09637239180706585, -0.10600964168317822, 0.09637239180706585, 0.0, -0.00963724616242981, 0.07709789799673321, -0.08673514787284559, 0.0, -0.08673514787284559, 0.0, 0.0, 0.0, -0.00963724616242981, 0.09637239180706585, 0.0, 0.10600964168317822, 0.0, 0.07709789799673321, 0.00963724616242981, -0.00963724616242981, 0.01927449232485962, -0.1927447836141317, 0.08673514787284559, -0.09637239180706585, 0.00963724616242981, 0.0, -0.09637239180706585, 0.00963724616242981, 0.0, -0.1927447836141317, 0.0, -0.01927449232485962, -0.01927449232485962, -0.00963724616242981, 0.09637239180706585, -0.08673514787284559, -0.08673514787284559, -0.01927449232485962, -0.10600964168317822, 0.00963724616242981, 0.09637239180706585, -0.09637239180706585, 0.09637239180706585, 0.1927447836141317, 0.0, 0.1927447836141317, 0.0, 0.0, 0.0, 0.00963724616242981, 0.10600964168317822, 0.00963724616242981, 0.0, 0.00963724616242981, -0.09637239180706585, -0.10600964168317822, 0.09637239180706585, -0.00963724616242981, 0.09637239180706585, -0.09637239180706585, -0.21201928336635645, 0.01927449232485962, 0.09637239180706585, -0.00963724616242981, 0.0, 0.0, 0.0, 0.0, -0.09637239180706585, 0.0, -0.1927447836141317, 0.09637239180706585, 0.1156468796755064, 0.08673514787284559, -0.09637239180706585, 0.08673514787284559, 0.0, 0.10600964168317822, 0.0, -0.1156468796755064, 0.00963724616242981, 0.00963724616242981, 0.10600964168317822, 0.08673514787284559, 0.00963724616242981, -0.00963724616242981, 0.07709789799673321, 0.20238203349024408, -0.08673514787284559, -0.10600964168317822, -0.00963724616242981, -0.10600964168317822, 0.00963724616242981, -0.08673514787284559, 0.0, -0.09637239180706585, -0.20238203349024408, -0.09637239180706585]",actor
3,"[0.08164481536042308, 0.0, 0.09580168690684908, 0.0, 0.09580168690684908, 0.09580168690684908, -0.10995855845327508, -0.19160337381369816, 0.0, -0.014156870069749755, -0.09580168690684908, 0.0, 0.0, 0.10995855845327508, -0.10995855845327508, 0.0, 0.0, 0.0, 0.0, 0.014156870069749755, -0.10995855845327508, -0.09580168690684908, -0.014156870069749755, -0.09580168690684908, 0.0, 0.10995855845327508, -0.09580168690684908, 0.0, 0.0, 0.0, 0.09580168690684908, -0.014156870069749755, 0.09580168690684908, -0.17744650226727215, 0.0, 0.0, -0.09580168690684908, -0.10995855845327508, 0.0, 0.0, -0.09580168690684908, 0.0, -0.014156870069749755, 0.0, 0.09580168690684908, 0.0, -0.09580168690684908, -0.08164481536042308, 0.0, 0.0, -0.09580168690684908, -0.08164481536042308, 0.0, 0.014156870069749755, 0.19160337381369816, 0.014156870069749755, 0.08164481536042308, -0.09580168690684908, -0.014156870069749755, 0.09580168690684908, -0.09580168690684908, 0.19160337381369816, -0.014156870069749755, 0.0, -0.014156870069749755, -0.09580168690684908, 0.014156870069749755, -0.014156870069749755, -0.014156870069749755, 0.014156870069749755, -0.014156870069749755, -0.08164481536042308, 0.09580168690684908, -0.10995855845327508, 0.09580168690684908, 0.0, -0.10995855845327508, 0.09580168690684908, -0.2057602335467142, 0.0, -0.09580168690684908, -0.09580168690684908, 0.09580168690684908, 0.0, -0.014156870069749755, -0.09580168690684908, 0.0, 0.0, -0.17744650226727215, 0.19160337381369816, -0.08164481536042308, -0.09580168690684908, 0.014156870069749755, 0.09580168690684908, 0.0, 0.0, 0.09580168690684908, -0.09580168690684908, -0.19160337381369816, 0.0, -0.014156870069749755, 0.09580168690684908, -0.09580168690684908, 0.0, -0.014156870069749755, -0.10995855845327508, 0.10995855845327508, -0.19160337381369816, 0.10995855845327508, 0.08164481536042308, 0.10995855845327508, -0.09580168690684908, -0.08164481536042308, -0.17744650226727215, 0.0, 0.17744650226727215, 0.0, -0.10995855845327508, -0.014156870069749755, 0.09580168690684908, 0.09580168690684908, -0.10995855845327508, -0.09580168690684908, -0.2057602335467142, 0.0, 0.0, 0.09580168690684908, -0.10995855845327508]",actor
